timestamp,station_complex_id,station_complex,passenger_exits
2025-05-05 00:00:00,108,Middle Village-Metropolitan Av (M),15.2416
2025-05-05 00:00:00,109,Fresh Pond Rd (M),28.3688
2025-05-05 00:00:00,110,Forest Av (M),27.1509
2025-05-05 00:00:00,111,Seneca Av (M),19.7902
2025-05-05 00:00:00,113,Knickerbocker Av (M),24.139
2025-05-05 00:00:00,114,Central Av (M),29.0123
2025-05-05 00:00:00,118,3 Av (L),19.3886
2025-05-05 00:00:00,119,1 Av (L),109.4538
2025-05-05 00:00:00,120,Bedford Av (L),150.2846
2025-05-05 00:00:00,122,Graham Av (L),56.481
2025-05-05 00:00:00,123,Grand St (L),40.7119
2025-05-05 00:00:00,124,Montrose Av (L),56.8824
2025-05-05 00:00:00,125,Morgan Av (L),71.6447
2025-05-05 00:00:00,126,Jefferson St (L),79.4428
2025-05-05 00:00:00,127,DeKalb Av (L),121.0219
2025-05-05 00:00:00,129,Halsey St (L),82.4138
2025-05-05 00:00:00,130,Wilson Av (L),57.3422
2025-05-05 00:00:00,131,Bushwick Av-Aberdeen St (L),33.6343
2025-05-05 00:00:00,133,Atlantic Av (L),18.0865
2025-05-05 00:00:00,134,Sutter Av (L),32.817
2025-05-05 00:00:00,135,Livonia Av (L),21.3156
2025-05-05 00:00:00,136,New Lots Av (L),30.3813
2025-05-05 00:00:00,137,East 105 St (L),22.8139
2025-05-05 00:00:00,138,Canarsie-Rockaway Pkwy (L),81.6755
2025-05-05 00:00:00,141,Park Pl (S),6.2742
2025-05-05 00:00:00,143,Inwood-207 St (A),50.5126
2025-05-05 00:00:00,144,Dyckman St (A),42.5299
2025-05-05 00:00:00,145,190 St (A),21.514
2025-05-05 00:00:00,146,181 St (A),76.7771
2025-05-05 00:00:00,147,175 St (A),61.8275
2025-05-05 00:00:00,149,163 St-Amsterdam Av (C),46.1933
2025-05-05 00:00:00,150,155 St (C),23.703300000000002
2025-05-05 00:00:00,151,"145 St (A,C,B,D)",202.3389
2025-05-05 00:00:00,152,"135 St (C,B)",30.7714
2025-05-05 00:00:00,153,"125 St (A,C,B,D)",161.7287
2025-05-05 00:00:00,154,"116 St (C,B)",42.462
2025-05-05 00:00:00,155,"Cathedral Pkwy (110 St) (C,B)",58.6241
2025-05-05 00:00:00,156,"103 St (C,B)",42.1511
2025-05-05 00:00:00,157,"96 St (C,B)",21.5492
2025-05-05 00:00:00,158,"86 St (C,B)",35.2349
2025-05-05 00:00:00,159,"81 St-Museum of Natural History (C,B)",29.9744
2025-05-05 00:00:00,160,"72 St (C,B)",24.961199999999998
2025-05-05 00:00:00,162,"50 St (C,E)",91.6685
2025-05-05 00:00:00,164,"34 St-Penn Station (A,C,E)",210.1682
2025-05-05 00:00:00,165,"23 St (C,E)",52.7393
2025-05-05 00:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",117.8129
2025-05-05 00:00:00,168,"Spring St (C,E)",17.1782
2025-05-05 00:00:00,169,"Canal St (A,C,E)",33.642
2025-05-05 00:00:00,173,"High St (A,C)",22.3694
2025-05-05 00:00:00,175,"Hoyt-Schermerhorn Sts (A,C,G)",42.9018
2025-05-05 00:00:00,176,Lafayette Av (C),22.2345
2025-05-05 00:00:00,177,Clinton-Washington Avs (C),28.6661
2025-05-05 00:00:00,179,"Nostrand Av (A,C)",132.0533
2025-05-05 00:00:00,180,Kingston-Throop Avs (C),66.76689999999999
