transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,passenger_entries,passenger_exits,exit_data_available,scheduled_trains,schedule_data_available,hour,day_of_week,is_weekend
2025-05-05 00:00:00,61,50 St (D),Brooklyn,40.63626,-73.99479,13.0,11.5221,1,,0,0,0,0
2025-05-05 00:00:00,62,55 St (D),Brooklyn,40.631435,-73.995476,6.0,8.9202,1,,0,0,0,0
2025-05-05 00:00:00,64,71 St (D),Brooklyn,40.61959,-73.99886,8.0,32.3561,1,,0,0,0,0
2025-05-05 00:00:00,65,79 St (D),Brooklyn,40.613503,-74.00061,2.0,42.9311,1,,0,0,0,0
2025-05-05 00:00:00,66,18 Av (D),Brooklyn,40.607952,-74.00174,7.0,27.9623,1,,0,0,0,0
2025-05-05 00:00:00,67,20 Av (D),Brooklyn,40.604557,-73.99817,6.0,33.4568,1,,0,0,0,0
2025-05-05 00:00:00,68,Bay Pkwy (D),Brooklyn,40.601875,-73.99373,11.0,36.817,1,,0,0,0,0
2025-05-05 00:00:00,69,25 Av (D),Brooklyn,40.597706,-73.98683,2.0,15.8101,1,,0,0,0,0
2025-05-05 00:00:00,70,Bay 50 St (D),Brooklyn,40.58884,-73.983765,2.0,14.0787,1,,0,0,0,0
2025-05-05 00:00:00,71,8 Av (N),Brooklyn,40.635063,-74.01172,19.0,35.951,1,,0,0,0,0
2025-05-05 00:00:00,72,Fort Hamilton Pkwy (N),Brooklyn,40.631386,-74.00535,10.0,38.0024,1,,0,0,0,0
2025-05-05 00:00:00,74,18 Av (N),Brooklyn,40.62067,-73.99042,4.0,22.6769,1,,0,0,0,0
2025-05-05 00:00:00,75,20 Av (N),Brooklyn,40.61741,-73.98502,5.0,21.1883,1,,0,0,0,0
2025-05-05 00:00:00,76,Bay Pkwy (N),Brooklyn,40.611816,-73.98185,4.0,38.0842,1,,0,0,0,0
2025-05-05 00:00:00,77,Kings Hwy (N),Brooklyn,40.603924,-73.980354,9.0,32.5363,1,,0,0,0,0
2025-05-05 00:00:00,78,Avenue U (N),Brooklyn,40.597473,-73.97913,6.0,14.4608,1,,0,0,0,0
2025-05-05 00:00:00,79,86 St (N),Brooklyn,40.59272,-73.97823,6.0,14.939,1,,0,0,0,0
2025-05-05 00:00:00,80,"121 St (J,Z)",Queens,40.700493,-73.82829,13.0,16.1756,1,3.0,1,0,0,0
2025-05-05 00:00:00,81,111 St (J),Queens,40.69742,-73.83634,6.0,15.5178,1,3.0,1,0,0,0
2025-05-05 00:00:00,82,"104 St (J,Z)",Queens,40.69518,-73.84433,3.0,17.3061,1,3.0,1,0,0,0
