complex_id,station_id,gtfs_stop_id,stop_name,constituent_station_name,borough,daytime_routes
523,523,S11,Arthur Kill,Arthur Kill,SI,SIR
522,522,S09,Tottenville,Tottenville,SI,SIR
59,59,B12,9 Av,9 Av,B,D
60,60,B13,Fort Hamilton Pkwy,Fort Hamilton Pkwy,B,D
61,61,B14,50 St,50 St,B,D
62,62,B15,55 St,55 St,B,D
615,63,B16,62 St/New Utrecht Av,62 St,B,D N
64,64,B17,71 St,71 St,B,D
65,65,B18,79 St,79 St,B,D
66,66,B19,18 Av,18 Av,B,D
67,67,B20,20 Av,20 Av,B,D
68,68,B21,Bay Pkwy,Bay Pkwy,B,D
69,69,B22,25 Av,25 Av,B,D
70,70,B23,Bay 50 St,Bay 50 St,B,D
