transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude
2025-05-05 06:00:00,subway,190,80 St (A),Queens,omny,OMNY - Seniors & Disability,11.0,0.0,40.67937,-73.85899
2025-05-05 06:00:00,subway,22,"Rector St (R,W)",Manhattan,omny,OMNY - Students,3.0,0.0,40.70722,-74.01334
2025-05-05 06:00:00,subway,220,"155 St (B,D)",Manhattan,omny,OMNY - Full Fare,46.0,0.0,40.830135,-73.93821
2025-05-05 06:00:00,subway,244,Ditmas Av (F),Brooklyn,metrocard,Metrocard - Seniors & Disability,1.0,0.0,40.63612,-73.97817
2025-05-05 06:00:00,subway,278,"Jamaica Center-Parsons/Archer (E,J,Z)",Queens,metrocard,Metrocard - Seniors & Disability,52.0,38.0,40.70215,-73.80111
2025-05-05 06:00:00,subway,334,"Clark St (2,3)",Brooklyn,metrocard,Metrocard - Unlimited 30-Day,6.0,0.0,40.697468,-73.99309
2025-05-05 06:00:00,subway,432,"Prospect Av (2,5)",Bronx,metrocard,Metrocard - Unlimited 7-Day,31.0,0.0,40.819584,-73.90177
2025-05-05 06:00:00,subway,442,Eastchester-Dyre Av (5),Bronx,metrocard,Metrocard - Other,26.0,1.0,40.8883,-73.83083
2025-05-05 06:00:00,subway,446,Morris Park (5),Bronx,omny,OMNY - Students,28.0,0.0,40.854362,-73.8605
2025-05-05 06:00:00,subway,464,Vernon Blvd-Jackson Av (7),Queens,metrocard,Metrocard - Other,26.0,0.0,40.742626,-73.95358
2025-05-05 06:00:00,subway,90,"Van Siclen Av (J,Z)",Brooklyn,metrocard,Metrocard - Other,5.0,0.0,40.678024,-73.891685
2025-05-05 06:00:00,subway,109,Fresh Pond Rd (M),Queens,omny,OMNY - Other,1.0,0.0,40.706184,-73.895874
2025-05-05 06:00:00,subway,110,Forest Av (M),Queens,omny,OMNY - Other,2.0,0.0,40.704422,-73.903076
2025-05-05 06:00:00,subway,127,DeKalb Av (L),Brooklyn,omny,OMNY - Students,41.0,2.0,40.70381,-73.91843
2025-05-05 06:00:00,subway,162,"50 St (C,E)",Manhattan,omny,OMNY - Full Fare,95.0,3.0,40.762455,-73.985985
2025-05-05 06:00:00,subway,224,57 St (M),Manhattan,omny,OMNY - Seniors & Disability,1.0,0.0,40.763973,-73.97745
2025-05-05 06:00:00,subway,232,2 Av (F),Manhattan,metrocard,Metrocard - Full Fare,10.0,0.0,40.7234,-73.98994
2025-05-05 06:00:00,subway,235,York St (F),Brooklyn,omny,OMNY - Other,1.0,0.0,40.701397,-73.98675
2025-05-05 06:00:00,subway,236,"Bergen St (F,G)",Brooklyn,omny,OMNY - Seniors & Disability,9.0,0.0,40.686146,-73.99086
2025-05-05 06:00:00,subway,262,"67 Av (M,R)",Queens,metrocard,Metrocard - Unlimited 30-Day,55.0,0.0,40.726524,-73.85272
2025-05-05 06:00:00,subway,284,Nassau Av (G),Brooklyn,metrocard,Metrocard - Unlimited 7-Day,6.0,0.0,40.724636,-73.95128
2025-05-05 06:00:00,subway,325,Canal St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,2.0,0.0,40.722855,-74.00628
2025-05-05 06:00:00,subway,349,Junius St (3),Brooklyn,omny,OMNY - Seniors & Disability,4.0,0.0,40.663513,-73.90245
2025-05-05 06:00:00,subway,350,Pennsylvania Av (3),Brooklyn,metrocard,Metrocard - Fair Fare,9.0,2.0,40.664635,-73.8949
2025-05-05 06:00:00,subway,413,"Wall St (4,5)",Manhattan,omny,OMNY - Fair Fare,1.0,0.0,40.707558,-74.01186
2025-05-05 06:00:00,subway,451,Junction Blvd (7),Queens,omny,OMNY - Students,94.0,7.0,40.749146,-73.86953
2025-05-05 06:00:00,subway,608,"4 Av-9 St (F,G,R)",Brooklyn,omny,OMNY - Seniors & Disability,8.0,4.0,40.67056,-73.989044
2025-05-05 06:00:00,subway,621,"Broadway Junction (A,C,J,Z,L)",Brooklyn,metrocard,Metrocard - Other,52.0,1.0,40.678898,-73.90436
2025-05-05 06:00:00,subway,627,"Franklin Av (C,S)",Brooklyn,metrocard,Metrocard - Fair Fare,2.0,0.0,40.68099,-73.95634
2025-05-05 06:00:00,subway,67,20 Av (D),Brooklyn,metrocard,Metrocard - Full Fare,68.0,0.0,40.604557,-73.99817
2025-05-05 06:00:00,subway,9,"57 St-7 Av (N,Q,R,W)",Manhattan,metrocard,Metrocard - Other,17.0,0.0,40.764664,-73.98066
2025-05-05 06:00:00,subway,97,"Myrtle Av (M,J,Z)",Brooklyn,metrocard,Metrocard - Unlimited 30-Day,35.0,0.0,40.69721,-73.93565
2025-05-05 06:00:00,subway,118,3 Av (L),Manhattan,omny,OMNY - Students,1.0,0.0,40.73285,-73.98612
2025-05-05 06:00:00,subway,125,Morgan Av (L),Brooklyn,omny,OMNY - Full Fare,128.0,5.0,40.706154,-73.93314
2025-05-05 06:00:00,subway,126,Jefferson St (L),Brooklyn,metrocard,Metrocard - Full Fare,39.0,4.0,40.706608,-73.92291
2025-05-05 06:00:00,subway,146,181 St (A),Manhattan,omny,OMNY - Students,27.0,1.0,40.851696,-73.937965
2025-05-05 06:00:00,subway,154,"116 St (C,B)",Manhattan,omny,OMNY - Students,17.0,1.0,40.805084,-73.95488
2025-05-05 06:00:00,subway,156,"103 St (C,B)",Manhattan,metrocard,Metrocard - Other,2.0,0.0,40.796093,-73.96146
