transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,passenger_entries
2025-05-05 00:00:00,74,18 Av (N),Brooklyn,40.62067,-73.99042,4.0
2025-05-05 00:00:00,75,20 Av (N),Brooklyn,40.61741,-73.98502,5.0
2025-05-05 00:00:00,76,Bay Pkwy (N),Brooklyn,40.611816,-73.98185,4.0
2025-05-05 00:00:00,77,Kings Hwy (N),Brooklyn,40.603924,-73.980354,9.0
2025-05-05 00:00:00,78,Avenue U (N),Brooklyn,40.597473,-73.97913,6.0
2025-05-05 00:00:00,79,86 St (N),Brooklyn,40.59272,-73.97823,6.0
2025-05-05 00:00:00,80,"121 St (J,Z)",Queens,40.700493,-73.82829,13.0
2025-05-05 00:00:00,81,111 St (J),Queens,40.69742,-73.83634,6.0
2025-05-05 00:00:00,82,"104 St (J,Z)",Queens,40.69518,-73.84433,3.0
2025-05-05 00:00:00,83,"Woodhaven Blvd (J,Z)",Queens,40.69388,-73.85158,10.0
2025-05-05 00:00:00,84,85 St-Forest Pkwy (J),Queens,40.692436,-73.86001,1.0
2025-05-05 00:00:00,85,"75 St-Elderts Ln (J,Z)",Queens,40.691322,-73.86714,7.0
2025-05-05 00:00:00,86,Cypress Hills (J),Brooklyn,40.68994,-73.87255,1.0
2025-05-05 00:00:00,87,"Crescent St (J,Z)",Brooklyn,40.683193,-73.87379,6.0
2025-05-05 00:00:00,88,"Norwood Av (J,Z)",Brooklyn,40.68141,-73.880035,2.0
2025-05-05 00:00:00,89,Cleveland St (J),Brooklyn,40.679947,-73.884636,8.0
2025-05-05 00:00:00,90,"Van Siclen Av (J,Z)",Brooklyn,40.678024,-73.891685,5.0
2025-05-05 00:00:00,91,"Alabama Av (J,Z)",Brooklyn,40.67699,-73.89865,6.0
2025-05-05 00:00:00,93,"Chauncey St (J,Z)",Brooklyn,40.68289,-73.91045,9.0
2025-05-05 00:00:00,94,Halsey St (J),Brooklyn,40.68637,-73.91656,12.0
2025-05-05 00:00:00,95,"Gates Av (J,Z)",Brooklyn,40.68963,-73.92227,10.0
2025-05-05 00:00:00,96,Kosciuszko St (J),Brooklyn,40.69334,-73.92882,13.0
2025-05-05 00:00:00,97,"Myrtle Av (M,J,Z)",Brooklyn,40.69721,-73.93565,72.0
2025-05-05 00:00:00,98,"Flushing Av (M,J)",Brooklyn,40.70026,-73.941124,31.0
2025-05-05 00:00:00,99,"Lorimer St (M,J)",Brooklyn,40.70387,-73.94741,9.0
