stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id
"12204","Flinders Street Station","-37.81864369","144.96673921","https://transport.vic.gov.au/stop/1071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:FSS","1","Level 0"
"12205","Flinders Street Station","-37.81858025","144.96671823","https://transport.vic.gov.au/stop/1071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:FSS","1","Level 0"
"12253","Richmond Station","-37.82416288","144.98953700","https://transport.vic.gov.au/stop/1162/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:RMD","1","Level 2"
"12254","Richmond Station","-37.82412704","144.98954933","https://transport.vic.gov.au/stop/1162/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:RMD","1","Level 2"
"12255","Richmond Station","-37.82404636","144.98957425","https://transport.vic.gov.au/stop/1162/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:RMD","1","Level 2"
"12256","Richmond Station","-37.82401091","144.98960929","https://transport.vic.gov.au/stop/1162/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:RMD","1","Level 2"
"12257","Richmond Station","-37.82392984","144.98961149","https://transport.vic.gov.au/stop/1162/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:RMD","1","Level 2"
"12258","Richmond Station","-37.82389420","144.98963518","https://transport.vic.gov.au/stop/1162/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:RMD","1","Level 2"
"12259","Richmond Station","-37.82381371","144.98967145","https://transport.vic.gov.au/stop/1162/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:RMD","1","Level 2"
"12260","Richmond Station","-37.82377788","144.98968378","https://transport.vic.gov.au/stop/1162/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:RMD","1","Level 2"
"12261","Richmond Station","-37.82369700","144.98969734","https://transport.vic.gov.au/stop/1162/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:RMD","1","Level 2"
"12262","Richmond Station","-37.82366136","144.98972103","https://transport.vic.gov.au/stop/1162/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:RMD","1","Level 2"
"13718","Clayton Station","-37.92473123","145.12076066","https://transport.vic.gov.au/stop/1040/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CLA","1","Level 1"
"13719","Clayton Station","-37.92476079","145.12091918","https://transport.vic.gov.au/stop/1040/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CLA","1","Level 1"
"14251","Caulfield Station","-37.87738078","145.04212894","https://transport.vic.gov.au/stop/1036/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CFD","1","Level 1"
