pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"vic:rail:BEW_PR1_vic:rail:BEW_EN1_walkway_1","vic:rail:BEW_PR1","vic:rail:BEW_EN1","1","1","162"
"vic:rail:BEW_PR2_vic:rail:BEW_EN2_walkway_1","vic:rail:BEW_PR2","vic:rail:BEW_EN2","1","1","180"
"vic:rail:BEW_PR3_vic:rail:BEW_EN2_walkway_1","vic:rail:BEW_PR3","vic:rail:BEW_EN2","1","1","30"
"vic:rail:BEW_BR1_vic:rail:BEW_EN1_walkway_1","vic:rail:BEW_BR1","vic:rail:BEW_EN1","1","1","18"
"27882_vic:rail:BEW_EN1_walkway_1","27882","vic:rail:BEW_EN1","1","1","300"
"27883_vic:rail:BEW_EN1_walkway_1","27883","vic:rail:BEW_EN1","1","1","300"
"vic:rail:BEW_EN1_12178_walkway_1","vic:rail:BEW_EN1","12178","1","1","60"
"vic:rail:BEW_EN1_12179_walkway_1","vic:rail:BEW_EN1","12179","1","1","60"
"vic:rail:BEW_EN1_22251_walkway_1","vic:rail:BEW_EN1","22251","1","1","60"
"vic:rail:BEW_EN2_26119_walkway_1","vic:rail:BEW_EN2","26119","1","1","54"
"vic:rail:BEW_EN2_12178_walkway_1","vic:rail:BEW_EN2","12178","1","1","54"
"vic:rail:BEW_EN2_12179_walkway_1","vic:rail:BEW_EN2","12179","1","1","54"
"vic:rail:BEW_EN2_22251_walkway_1","vic:rail:BEW_EN2","22251","1","1","54"
"12178_12179_walkway_1","12178","12179","1","1","60"
"vic:rail:BMS_PR1_vic:rail:BMS_EN4_walkway_1","vic:rail:BMS_PR1","vic:rail:BMS_EN4","1","1","144"
"vic:rail:BMS_PR1_vic:rail:BMS_EN3_walkway_1","vic:rail:BMS_PR1","vic:rail:BMS_EN3","1","1","180"
"vic:rail:BMS_BR1_vic:rail:BMS_EN4_walkway_1","vic:rail:BMS_BR1","vic:rail:BMS_EN4","1","1","48"
"vic:rail:BMS_BR1_vic:rail:BMS_EN3_walkway_1","vic:rail:BMS_BR1","vic:rail:BMS_EN3","1","1","90"
"vic:rail:BMS_EN1_vic:rail:BMS_DP4_walkway_1","vic:rail:BMS_EN1","vic:rail:BMS_DP4","1","1","72"
"vic:rail:BMS_EN1_22254_walkway_1","vic:rail:BMS_EN1","22254","1","1","300"
"vic:rail:BMS_EN2_vic:rail:BMS_DP4_stairs_1","vic:rail:BMS_EN2","vic:rail:BMS_DP4","2","1","30"
"vic:rail:BMS_EN3_26126_walkway_1","vic:rail:BMS_EN3","26126","1","1","90"
"vic:rail:BMS_EN3_15530_walkway_1","vic:rail:BMS_EN3","15530","1","1","30"
"vic:rail:BMS_EN3_22254_walkway_1","vic:rail:BMS_EN3","22254","1","1","300"
"vic:rail:BMS_EN3_vic:rail:BMS_EN4_walkway_1","vic:rail:BMS_EN3","vic:rail:BMS_EN4","1","1","48"
"vic:rail:BMS_EN4_26126_walkway_1","vic:rail:BMS_EN4","26126","1","1","120"
"vic:rail:BMS_EN4_22254_walkway_1","vic:rail:BMS_EN4","22254","1","1","300"
"vic:rail:BMS_EN4_vic:rail:BMS_DP1_walkway_1","vic:rail:BMS_EN4","vic:rail:BMS_DP1","1","1","54"
"vic:rail:BMS_EN5_22254_walkway_1","vic:rail:BMS_EN5","22254","1","1","300"
"vic:rail:BMS_EN5_vic:rail:BMS_DP3_walkway_1","vic:rail:BMS_EN5","vic:rail:BMS_DP3","1","1","72"
"vic:rail:BMS_EN5_vic:rail:BMS_EN6_walkway_1","vic:rail:BMS_EN5","vic:rail:BMS_EN6","1","1","72"
"vic:rail:BMS_EN6_26500_walkway_1","vic:rail:BMS_EN6","26500","1","1","12"
"vic:rail:BMS_EN6_22254_walkway_1","vic:rail:BMS_EN6","22254","1","1","300"
"vic:rail:BMS_DP1_vic:rail:BMS_DP2_walkway_1","vic:rail:BMS_DP1","vic:rail:BMS_DP2","1","1","24"
"vic:rail:BMS_DP2_vic:rail:BMS_DP3_walkway_1","vic:rail:BMS_DP2","vic:rail:BMS_DP3","1","1","12"
"vic:rail:BMS_DP2_15529_walkway_1","vic:rail:BMS_DP2","15529","1","1","138"
"vic:rail:BMS_DP4_15530_walkway_1","vic:rail:BMS_DP4","15530","1","1","6"
"15529_22254_walkway_1","15529","22254","1","1","300"
"15530_22254_walkway_1","15530","22254","1","1","300"
"26500_22254_walkway_1","26500","22254","1","1","300"
"vic:rail:CFD_BR1_vic:rail:CFD_EN6_walkway_1","vic:rail:CFD_BR1","vic:rail:CFD_EN6","1","1","36"
"vic:rail:CFD_BR1_vic:rail:CFD_EN4_walkway_1","vic:rail:CFD_BR1","vic:rail:CFD_EN4","1","1","72"
"vic:rail:CFD_KR1_vic:rail:CFD_EN2_walkway_1","vic:rail:CFD_KR1","vic:rail:CFD_EN2","1","1","30"
"vic:rail:CFD_KR1_vic:rail:CFD_EN3_walkway_1","vic:rail:CFD_KR1","vic:rail:CFD_EN3","1","1","66"
"vic:rail:CFD_PR1_vic:rail:CFD_EN2_walkway_1","vic:rail:CFD_PR1","vic:rail:CFD_EN2","1","1","96"
"vic:rail:CFD_PR1_vic:rail:CFD_EN3_walkway_1","vic:rail:CFD_PR1","vic:rail:CFD_EN3","1","1","132"
"vic:rail:CFD_TX1_vic:rail:CFD_EN4_walkway_1","vic:rail:CFD_TX1","vic:rail:CFD_EN4","1","1","18"
"vic:rail:CFD_EN1_vic:rail:CFD_DP1_walkway_1","vic:rail:CFD_EN1","vic:rail:CFD_DP1","1","1","36"
