pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"vic:rail:CFD_EN1_vic:rail:CFD_EN3_walkway_1","vic:rail:CFD_EN1","vic:rail:CFD_EN3","1","1","12"
"vic:rail:CFD_EN2_vic:rail:CFD_DP1_walkway_1","vic:rail:CFD_EN2","vic:rail:CFD_DP1","1","1","30"
"vic:rail:CFD_EN2_26135_walkway_1","vic:rail:CFD_EN2","26135","1","1","30"
"vic:rail:CFD_EN3_vic:rail:CFD_DP2_walkway_1","vic:rail:CFD_EN3","vic:rail:CFD_DP2","1","1","36"
"vic:rail:CFD_EN3_vic:rail:CFD_DP3_walkway_1","vic:rail:CFD_EN3","vic:rail:CFD_DP3","1","1","60"
"vic:rail:CFD_EN3_26135_walkway_1","vic:rail:CFD_EN3","26135","1","1","66"
"vic:rail:CFD_EN3_22248_walkway_1","vic:rail:CFD_EN3","22248","1","1","300"
"vic:rail:CFD_EN4_vic:rail:CFD_DP3_walkway_1","vic:rail:CFD_EN4","vic:rail:CFD_DP3","1","1","48"
"vic:rail:CFD_EN4_14254_walkway_1","vic:rail:CFD_EN4","14254","1","1","18"
"vic:rail:CFD_EN4_22248_walkway_1","vic:rail:CFD_EN4","22248","1","1","300"
"vic:rail:CFD_EN5_14254_stairs_1","vic:rail:CFD_EN5","14254","2","1","6"
"vic:rail:CFD_EN6_vic:rail:CFD_DP3_walkway_1","vic:rail:CFD_EN6","vic:rail:CFD_DP3","1","1","36"
"vic:rail:CFD_DP1_14251_walkway_1","vic:rail:CFD_DP1","14251","1","1","12"
"vic:rail:CFD_DP2_vic:rail:CFD_DP3_walkway_1","vic:rail:CFD_DP2","vic:rail:CFD_DP3","1","1","30"
"vic:rail:CFD_DP2_vic:rail:CFD_DP4_walkway_1","vic:rail:CFD_DP2","vic:rail:CFD_DP4","1","1","72"
"vic:rail:CFD_DP4_14252_fare_gate_0","vic:rail:CFD_DP4","14252","6","0","12"
"14252_vic:rail:CFD_DP4_exit_gate_0","14252","vic:rail:CFD_DP4","7","0","12"
"vic:rail:CFD_DP4_14253_fare_gate_0","vic:rail:CFD_DP4","14253","6","0","12"
"14253_vic:rail:CFD_DP4_exit_gate_0","14253","vic:rail:CFD_DP4","7","0","12"
"14251_22248_walkway_1","14251","22248","1","1","420"
"14252_22248_walkway_1","14252","22248","1","1","420"
"14253_22248_walkway_1","14253","22248","1","1","420"
"14254_22248_walkway_1","14254","22248","1","1","420"
"14252_14253_fare_gate_0","14252","14253","6","0","60"
"vic:rail:CLA_PR1_vic:rail:CLA_EN1_walkway_1","vic:rail:CLA_PR1","vic:rail:CLA_EN1","1","1","336"
"vic:rail:CLA_BR1_vic:rail:CLA_EN1_walkway_1","vic:rail:CLA_BR1","vic:rail:CLA_EN1","1","1","90"
"vic:rail:CLA_EN1_26139_walkway_1","vic:rail:CLA_EN1","26139","1","1","60"
"vic:rail:CLA_EN1_vic:rail:CLA_DP1_walkway_1","vic:rail:CLA_EN1","vic:rail:CLA_DP1","1","1","30"
"vic:rail:CLA_EN1_vic:rail:CLA_LI1_walkway_1","vic:rail:CLA_EN1","vic:rail:CLA_LI1","1","1","36"
"vic:rail:CLA_DP1_22249_stairs_1","vic:rail:CLA_DP1","22249","2","1","84"
"vic:rail:CLA_DP1_22249_escalator_1","vic:rail:CLA_DP1","22249","4","1","36"
"vic:rail:CLA_DP1_13718_escalator_1","vic:rail:CLA_DP1","13718","4","1","36"
"vic:rail:CLA_DP1_13719_escalator_1","vic:rail:CLA_DP1","13719","4","1","36"
"vic:rail:CLA_DP1_13718_stairs_1","vic:rail:CLA_DP1","13718","2","1","84"
"vic:rail:CLA_DP1_13719_stairs_1","vic:rail:CLA_DP1","13719","2","1","84"
"vic:rail:CLA_LI1_22249_elevator_1","vic:rail:CLA_LI1","22249","5","1","60"
"vic:rail:CLA_LI1_13718_elevator_1","vic:rail:CLA_LI1","13718","5","1","60"
"vic:rail:CLA_LI1_13719_elevator_1","vic:rail:CLA_LI1","13719","5","1","60"
"13718_22249_walkway_1","13718","22249","1","1","60"
"13719_22249_walkway_1","13719","22249","1","1","60"
"13718_13719_walkway_1","13718","13719","1","1","60"
"vic:rail:CGB_PR1_vic:rail:CGB_EN3_walkway_1","vic:rail:CGB_PR1","vic:rail:CGB_EN3","1","1","162"
"vic:rail:CGB_PR1_vic:rail:CGB_EN2_walkway_1","vic:rail:CGB_PR1","vic:rail:CGB_EN2","1","1","48"
"vic:rail:CGB_PR1_vic:rail:CGB_EN1_walkway_1","vic:rail:CGB_PR1","vic:rail:CGB_EN1","1","1","60"
"vic:rail:CGB_PR2_vic:rail:CGB_EN1_walkway_1","vic:rail:CGB_PR2","vic:rail:CGB_EN1","1","1","702"
"vic:rail:CGB_PR2_vic:rail:CGB_EN3_walkway_1","vic:rail:CGB_PR2","vic:rail:CGB_EN3","1","1","612"
"vic:rail:CGB_BR1_vic:rail:CGB_EN3_walkway_1","vic:rail:CGB_BR1","vic:rail:CGB_EN3","1","1","138"
"vic:rail:CGB_BR1_vic:rail:CGB_EN2_walkway_1","vic:rail:CGB_BR1","vic:rail:CGB_EN2","1","1","48"
"vic:rail:CGB_BR1_vic:rail:CGB_EN1_walkway_1","vic:rail:CGB_BR1","vic:rail:CGB_EN1","1","1","36"
"vic:rail:CGB_TX1_vic:rail:CGB_EN3_walkway_1","vic:rail:CGB_TX1","vic:rail:CGB_EN3","1","1","90"
"vic:rail:CGB_TX1_vic:rail:CGB_EN1_walkway_1","vic:rail:CGB_TX1","vic:rail:CGB_EN1","1","1","12"
"vic:rail:CGB_KR1_vic:rail:CGB_EN3_walkway_1","vic:rail:CGB_KR1","vic:rail:CGB_EN3","1","1","138"
"vic:rail:CGB_KR1_vic:rail:CGB_EN2_walkway_1","vic:rail:CGB_KR1","vic:rail:CGB_EN2","1","1","18"
"vic:rail:CGB_KR1_vic:rail:CGB_EN1_walkway_1","vic:rail:CGB_KR1","vic:rail:CGB_EN1","1","1","30"
"vic:rail:CGB_EN1_vic:rail:CGB_EN3_walkway_1","vic:rail:CGB_EN1","vic:rail:CGB_EN3","1","1","120"
"vic:rail:CGB_EN1_26144_walkway_1","vic:rail:CGB_EN1","26144","1","1","78"
"vic:rail:CGB_EN1_vic:rail:CGB_DP1_stairs_1","vic:rail:CGB_EN1","vic:rail:CGB_DP1","2","1","6"
"vic:rail:CGB_EN1_vic:rail:CGB_DP1_walkway_1","vic:rail:CGB_EN1","vic:rail:CGB_DP1","1","1","54"
"vic:rail:CGB_EN2_vic:rail:CGB_DP2_stairs_1","vic:rail:CGB_EN2","vic:rail:CGB_DP2","2","1","6"
"vic:rail:CGB_EN3_26144_walkway_1","vic:rail:CGB_EN3","26144","1","1","120"
"vic:rail:CGB_EN3_15527_walkway_1","vic:rail:CGB_EN3","15527","1","1","48"
"vic:rail:CGB_DP1_vic:rail:CGB_DP2_walkway_1","vic:rail:CGB_DP1","vic:rail:CGB_DP2","1","1","12"
"vic:rail:CGB_DP1_15528_walkway_1","vic:rail:CGB_DP1","15528","1","1","24"
"vic:rail:CGB_DP1_20029_walkway_1","vic:rail:CGB_DP1","20029","1","1","24"
"vic:rail:DNG_PR1_26149_walkway_1","vic:rail:DNG_PR1","26149","1","1","72"
"vic:rail:DNG_PR1_vic:rail:DNG_EN1_walkway_1","vic:rail:DNG_PR1","vic:rail:DNG_EN1","1","1","102"
"vic:rail:DNG_PR1_vic:rail:DNG_EN2_walkway_1","vic:rail:DNG_PR1","vic:rail:DNG_EN2","1","1","84"
"vic:rail:DNG_PR2_vic:rail:DNG_EN5_walkway_1","vic:rail:DNG_PR2","vic:rail:DNG_EN5","1","1","156"
"vic:rail:DNG_TX1_vic:rail:DNG_EN3_walkway_1","vic:rail:DNG_TX1","vic:rail:DNG_EN3","1","1","66"
"vic:rail:DNG_BR1_vic:rail:DNG_EN4_walkway_1","vic:rail:DNG_BR1","vic:rail:DNG_EN4","1","1","30"
"vic:rail:DNG_BR1_vic:rail:DNG_EN5_walkway_1","vic:rail:DNG_BR1","vic:rail:DNG_EN5","1","1","48"
"vic:rail:DNG_EN1_26149_walkway_1","vic:rail:DNG_EN1","26149","1","1","30"
"vic:rail:DNG_EN1_vic:rail:DNG_DP1_stairs_1","vic:rail:DNG_EN1","vic:rail:DNG_DP1","2","1","30"
"vic:rail:DNG_EN2_26149_walkway_1","vic:rail:DNG_EN2","26149","1","1","30"
"vic:rail:DNG_EN2_vic:rail:DNG_DP1_walkway_1","vic:rail:DNG_EN2","vic:rail:DNG_DP1","1","1","252"
"vic:rail:DNG_EN3_vic:rail:DNG_DP4_walkway_1","vic:rail:DNG_EN3","vic:rail:DNG_DP4","1","1","72"
"vic:rail:DNG_EN4_vic:rail:DNG_DP4_stairs_1","vic:rail:DNG_EN4","vic:rail:DNG_DP4","2","1","18"
"vic:rail:DNG_EN5_vic:rail:DNG_DP8_walkway_1","vic:rail:DNG_EN5","vic:rail:DNG_DP8","1","1","24"
"vic:rail:DNG_EN5_vic:rail:DNG_LI2_walkway_1","vic:rail:DNG_EN5","vic:rail:DNG_LI2","1","1","12"
"vic:rail:DNG_EN5_12189_fare_gate_0","vic:rail:DNG_EN5","12189","6","0","12"
"12189_vic:rail:DNG_EN5_exit_gate_0","12189","vic:rail:DNG_EN5","7","0","12"
"vic:rail:DNG_EN5_22250_fare_gate_0","vic:rail:DNG_EN5","22250","6","0","300"
"22250_vic:rail:DNG_EN5_exit_gate_0","22250","vic:rail:DNG_EN5","7","0","300"
"vic:rail:DNG_LI1_vic:rail:DNG_DP6_exit_gate_0","vic:rail:DNG_LI1","vic:rail:DNG_DP6","7","0","18"
"vic:rail:DNG_DP6_vic:rail:DNG_LI1_fare_gate_0","vic:rail:DNG_DP6","vic:rail:DNG_LI1","6","0","18"
"vic:rail:DNG_LI1_12187_elevator_1","vic:rail:DNG_LI1","12187","5","1","60"
"vic:rail:DNG_LI1_12188_elevator_1","vic:rail:DNG_LI1","12188","5","1","60"
"vic:rail:DNG_LI2_vic:rail:DNG_DP3_elevator_1","vic:rail:DNG_LI2","vic:rail:DNG_DP3","5","1","60"
"vic:rail:DNG_LI2_vic:rail:DNG_DP2_elevator_1","vic:rail:DNG_LI2","vic:rail:DNG_DP2","5","1","60"
"vic:rail:DNG_DP1_vic:rail:DNG_DP6_walkway_1","vic:rail:DNG_DP1","vic:rail:DNG_DP6","1","1","36"
"vic:rail:DNG_DP2_vic:rail:DNG_DP6_walkway_1","vic:rail:DNG_DP2","vic:rail:DNG_DP6","1","1","6"
"vic:rail:DNG_DP2_vic:rail:DNG_DP5_fare_gate_0","vic:rail:DNG_DP2","vic:rail:DNG_DP5","6","0","18"
"vic:rail:DNG_DP5_vic:rail:DNG_DP2_exit_gate_0","vic:rail:DNG_DP5","vic:rail:DNG_DP2","7","0","18"
"vic:rail:DNG_DP2_vic:rail:DNG_DP3_walkway_1","vic:rail:DNG_DP2","vic:rail:DNG_DP3","1","1","12"
"vic:rail:DNG_DP3_vic:rail:DNG_DP8_stairs_1","vic:rail:DNG_DP3","vic:rail:DNG_DP8","2","1","18"
"vic:rail:DNG_DP3_vic:rail:DNG_DP4_walkway_1","vic:rail:DNG_DP3","vic:rail:DNG_DP4","1","1","18"
"vic:rail:DNG_DP5_12187_stairs_1","vic:rail:DNG_DP5","12187","2","1","30"
"vic:rail:DNG_DP5_12188_stairs_1","vic:rail:DNG_DP5","12188","2","1","30"
"vic:rail:DNG_DP6_vic:rail:DNG_DP7_fare_gate_0","vic:rail:DNG_DP6","vic:rail:DNG_DP7","6","0","12"
"vic:rail:DNG_DP7_vic:rail:DNG_DP6_exit_gate_0","vic:rail:DNG_DP7","vic:rail:DNG_DP6","7","0","12"
"vic:rail:DNG_DP7_12187_stairs_1","vic:rail:DNG_DP7","12187","2","1","30"
"vic:rail:DNG_DP7_12188_stairs_1","vic:rail:DNG_DP7","12188","2","1","30"
"12187_22250_walkway_1","12187","22250","1","1","600"
"12188_22250_walkway_1","12188","22250","1","1","600"
"12189_22250_fare_gate_0","12189","22250","6","0","600"
"22250_12189_fare_gate_0","22250","12189","6","0","600"
"12187_12188_walkway_1","12187","12188","1","1","60"
"vic:rail:ESD_PR1_vic:rail:ESD_EN1_walkway_1","vic:rail:ESD_PR1","vic:rail:ESD_EN1","1","1","210"
"vic:rail:ESD_PR2_vic:rail:ESD_EN3_walkway_1","vic:rail:ESD_PR2","vic:rail:ESD_EN3","1","1","282"
"vic:rail:ESD_PR2_vic:rail:ESD_EN1_walkway_1","vic:rail:ESD_PR2","vic:rail:ESD_EN1","1","1","210"
"vic:rail:ESD_EN1_26164_walkway_1","vic:rail:ESD_EN1","26164","1","1","72"
"vic:rail:ESD_EN1_vic:rail:ESD_DP1_walkway_1","vic:rail:ESD_EN1","vic:rail:ESD_DP1","1","1","66"
"vic:rail:ESD_EN2_vic:rail:ESD_DP1_stairs_1","vic:rail:ESD_EN2","vic:rail:ESD_DP1","2","1","18"
"vic:rail:ESD_EN3_26164_walkway_1","vic:rail:ESD_EN3","26164","1","1","12"
"vic:rail:ESD_EN3_vic:rail:ESD_DP3_stairs_1","vic:rail:ESD_EN3","vic:rail:ESD_DP3","2","1","18"
"vic:rail:ESD_EN4_vic:rail:ESD_DP3_walkway_1","vic:rail:ESD_EN4","vic:rail:ESD_DP3","1","1","66"
"vic:rail:ESD_DP1_vic:rail:ESD_DP2_walkway_1","vic:rail:ESD_DP1","vic:rail:ESD_DP2","1","1","18"
"vic:rail:ESD_DP2_vic:rail:ESD_DP3_walkway_1","vic:rail:ESD_DP2","vic:rail:ESD_DP3","1","1","30"
"vic:rail:ESD_DP2_15544_walkway_1","vic:rail:ESD_DP2","15544","1","1","90"
"vic:rail:ESD_DP2_15545_walkway_1","vic:rail:ESD_DP2","15545","1","1","90"
"vic:rail:ESD_DP2_22253_walkway_1","vic:rail:ESD_DP2","22253","1","1","1800"
"15543_22253_walkway_1","15543","22253","1","1","1800"
"22238_11215_walkway_1","22238","11215","1","1","480"
"22238_11216_walkway_1","22238","11216","1","1","480"
"22238_11217_walkway_1","22238","11217","1","1","480"
"22238_11218_walkway_1","22238","11218","1","1","480"
"22238_12205_walkway_1","22238","12205","1","1","480"
"22238_12204_walkway_1","22238","12204","1","1","480"
"22238_12203_walkway_1","22238","12203","1","1","480"
"22238_12202_walkway_1","22238","12202","1","1","480"
"22238_12201_walkway_1","22238","12201","1","1","480"
"26170_vic:rail:FSS_dEN1_walkway_1","26170","vic:rail:FSS_dEN1","1","1","18"
"26170_vic:rail:FSS_sEN1_walkway_1","26170","vic:rail:FSS_sEN1","1","1","108"
"26170_vic:rail:FSS_sEN2_walkway_1","26170","vic:rail:FSS_sEN2","1","1","144"
"26170_vic:rail:FSS_eEN1_walkway_1","26170","vic:rail:FSS_eEN1","1","1","90"
"11212_vic:rail:FSS_dEN1_walkway_1","11212","vic:rail:FSS_dEN1","1","1","12"
"11212_vic:rail:FSS_LI7_walkway_1","11212","vic:rail:FSS_LI7","1","1","6"
"11212_vic:rail:FSS_DP1_escalator_1","11212","vic:rail:FSS_DP1","4","1","66"
"11212_vic:rail:FSS_DP1_elevator_1","11212","vic:rail:FSS_DP1","5","1","120"
"11212_vic:rail:FSS_DP1_stairs_1","11212","vic:rail:FSS_DP1","2","1","90"
"11212_vic:rail:FSS_eDP9_walkway_1","11212","vic:rail:FSS_eDP9","1","1","6"
"11212_vic:rail:FSS_eDP3_stairs_1","11212","vic:rail:FSS_eDP3","2","1","90"
"11212_vic:rail:FSS_dDP4_stairs_1","11212","vic:rail:FSS_dDP4","2","1","90"
"11213_vic:rail:FSS_dDP5_elevator_1","11213","vic:rail:FSS_dDP5","5","1","120"
"11214_vic:rail:FSS_dDP5_elevator_1","11214","vic:rail:FSS_dDP5","5","1","120"
"11213_vic:rail:FSS_dDP5_stairs_1","11213","vic:rail:FSS_dDP5","2","1","90"
"11214_vic:rail:FSS_dDP5_stairs_1","11214","vic:rail:FSS_dDP5","2","1","90"
"11213_vic:rail:FSS_eDP4_walkway_1","11213","vic:rail:FSS_eDP4","1","1","66"
"11214_vic:rail:FSS_eDP4_walkway_1","11214","vic:rail:FSS_eDP4","1","1","66"
"11213_vic:rail:FSS_LI2_elevator_1","11213","vic:rail:FSS_LI2","5","1","120"
"11214_vic:rail:FSS_LI2_elevator_1","11214","vic:rail:FSS_LI2","5","1","120"
"11213_vic:rail:FSS_DP2_stairs_1","11213","vic:rail:FSS_DP2","2","1","90"
"11214_vic:rail:FSS_DP2_stairs_1","11214","vic:rail:FSS_DP2","2","1","90"
"11213_vic:rail:FSS_DP2_escalator_1","11213","vic:rail:FSS_DP2","4","1","66"
"11214_vic:rail:FSS_DP2_escalator_1","11214","vic:rail:FSS_DP2","4","1","66"
"11215_vic:rail:FSS_dDP6_elevator_1","11215","vic:rail:FSS_dDP6","5","1","120"
"11216_vic:rail:FSS_dDP6_elevator_1","11216","vic:rail:FSS_dDP6","5","1","120"
"11215_vic:rail:FSS_dDP6_stairs_1","11215","vic:rail:FSS_dDP6","2","1","90"
"11216_vic:rail:FSS_dDP6_stairs_1","11216","vic:rail:FSS_dDP6","2","1","90"
"11215_vic:rail:FSS_eDP5_walkway_1","11215","vic:rail:FSS_eDP5","1","1","66"
"11216_vic:rail:FSS_eDP5_walkway_1","11216","vic:rail:FSS_eDP5","1","1","66"
"11215_vic:rail:FSS_LI3_elevator_1","11215","vic:rail:FSS_LI3","5","1","120"
"11216_vic:rail:FSS_LI3_elevator_1","11216","vic:rail:FSS_LI3","5","1","120"
"11215_vic:rail:FSS_DP3_stairs_1","11215","vic:rail:FSS_DP3","2","1","90"
"11216_vic:rail:FSS_DP3_stairs_1","11216","vic:rail:FSS_DP3","2","1","90"
"11215_vic:rail:FSS_DP3_escalator_1","11215","vic:rail:FSS_DP3","4","1","66"
"11216_vic:rail:FSS_DP3_escalator_1","11216","vic:rail:FSS_DP3","4","1","66"
"11217_vic:rail:FSS_dDP7_elevator_1","11217","vic:rail:FSS_dDP7","5","1","120"
"11218_vic:rail:FSS_dDP7_elevator_1","11218","vic:rail:FSS_dDP7","5","1","120"
"11217_vic:rail:FSS_dDP7_stairs_1","11217","vic:rail:FSS_dDP7","2","1","90"
"11218_vic:rail:FSS_dDP7_stairs_1","11218","vic:rail:FSS_dDP7","2","1","90"
"11217_vic:rail:FSS_eDP6_walkway_1","11217","vic:rail:FSS_eDP6","1","1","66"
"11218_vic:rail:FSS_eDP6_walkway_1","11218","vic:rail:FSS_eDP6","1","1","66"
"11217_vic:rail:FSS_LI4_elevator_1","11217","vic:rail:FSS_LI4","5","1","120"
"11218_vic:rail:FSS_LI4_elevator_1","11218","vic:rail:FSS_LI4","5","1","120"
"11217_vic:rail:FSS_DP4_stairs_1","11217","vic:rail:FSS_DP4","2","1","90"
"11218_vic:rail:FSS_DP4_stairs_1","11218","vic:rail:FSS_DP4","2","1","90"
"11217_vic:rail:FSS_DP4_escalator_1","11217","vic:rail:FSS_DP4","4","1","66"
"11218_vic:rail:FSS_DP4_escalator_1","11218","vic:rail:FSS_DP4","4","1","66"
"12205_vic:rail:FSS_eDP7_walkway_1","12205","vic:rail:FSS_eDP7","1","1","66"
"12204_vic:rail:FSS_eDP7_walkway_1","12204","vic:rail:FSS_eDP7","1","1","66"
"12205_vic:rail:FSS_dDP8_elevator_1","12205","vic:rail:FSS_dDP8","5","1","120"
"12204_vic:rail:FSS_dDP8_elevator_1","12204","vic:rail:FSS_dDP8","5","1","120"
"12205_vic:rail:FSS_dDP8_stairs_1","12205","vic:rail:FSS_dDP8","2","1","90"
"12204_vic:rail:FSS_dDP8_stairs_1","12204","vic:rail:FSS_dDP8","2","1","90"
"12205_vic:rail:FSS_LI5_elevator_1","12205","vic:rail:FSS_LI5","5","1","120"
"12204_vic:rail:FSS_LI5_elevator_1","12204","vic:rail:FSS_LI5","5","1","120"
"12205_vic:rail:FSS_DP5_stairs_1","12205","vic:rail:FSS_DP5","2","1","90"
"12204_vic:rail:FSS_DP5_stairs_1","12204","vic:rail:FSS_DP5","2","1","90"
"12205_vic:rail:FSS_DP5_escalator_1","12205","vic:rail:FSS_DP5","4","1","66"
"12204_vic:rail:FSS_DP5_escalator_1","12204","vic:rail:FSS_DP5","4","1","66"
"12203_vic:rail:FSS_eDP8_walkway_1","12203","vic:rail:FSS_eDP8","1","1","66"
"12203_vic:rail:FSS_yDP2_walkway_1","12203","vic:rail:FSS_yDP2","1","1","66"
"12203_vic:rail:FSS_dDP9_elevator_1","12203","vic:rail:FSS_dDP9","5","1","120"
"12203_vic:rail:FSS_dDP9_stairs_1","12203","vic:rail:FSS_dDP9","2","1","90"
"12203_vic:rail:FSS_DP6_escalator_1","12203","vic:rail:FSS_DP6","4","1","66"
"12203_vic:rail:FSS_DP6_stairs_1","12203","vic:rail:FSS_DP6","2","1","90"
"12203_vic:rail:FSS_DP6_elevator_1","12203","vic:rail:FSS_DP6","5","1","120"
"12202_vic:rail:FSS_eDP8_walkway_1","12202","vic:rail:FSS_eDP8","1","1","66"
"12201_vic:rail:FSS_eDP8_walkway_1","12201","vic:rail:FSS_eDP8","1","1","66"
"12202_vic:rail:FSS_dDP9_elevator_1","12202","vic:rail:FSS_dDP9","5","1","126"
"12201_vic:rail:FSS_dDP9_elevator_1","12201","vic:rail:FSS_dDP9","5","1","126"
"12202_vic:rail:FSS_DP7_escalator_1","12202","vic:rail:FSS_DP7","4","1","66"
"12201_vic:rail:FSS_DP7_escalator_1","12201","vic:rail:FSS_DP7","4","1","66"
"12202_vic:rail:FSS_DP7_stairs_1","12202","vic:rail:FSS_DP7","2","1","90"
"12201_vic:rail:FSS_DP7_stairs_1","12201","vic:rail:FSS_DP7","2","1","90"
"12202_vic:rail:FSS_DP6_elevator_1","12202","vic:rail:FSS_DP6","5","1","120"
"12201_vic:rail:FSS_DP6_elevator_1","12201","vic:rail:FSS_DP6","5","1","120"
"vic:rail:FSS_sEN1_vic:rail:FSS_CN1_stairs_1","vic:rail:FSS_sEN1","vic:rail:FSS_CN1","2","1","12"
"vic:rail:FSS_sEN2_vic:rail:FSS_DP1_walkway_1","vic:rail:FSS_sEN2","vic:rail:FSS_DP1","1","1","66"
